Question,Text
"What defines the ""Final Solution to the Jewish Question""?","By the end of 1942, victims were being regularly transported by freight trains to extermination camps where, if they survived the journey, most were systematically killed in gas chambers. This continued until the end of World War II in Europe in April-May 1945. Jewish armed resistance was limited. The most notable exception was the Warsaw Ghetto uprising of 1943, when thousands of poorly-armed Jewish fighters held the Waffen-SS at bay for four weeks. An estimated 20,000-30,000 Jewish partisans actively fought against the Nazis and their collaborators in Eastern Europe. French Jews took part in the French Resistance, which conducted a guerilla campaign against the Nazis and Vichy French authorities."
How would you define the United States Air Force relative to the US Army?,"The United States Air Force is the aerial warfare service branch of the United States Armed Forces and one of the seven American uniformed services. Initially part of the United States Army, the USAF was formed as a separate branch of the military on 18 September 1947 under the National Security Act of 1947. It is the most recent branch of the U.S. military to be formed, and is the largest and one of the world's most technologically advanced air forces. The USAF articulates its core functions as Nuclear Deterrence Operations, Special Operations, Air Superiority, Global Integrated ISR, Space Superiority, Command and Control, Cyberspace Superiority, Personnel Recovery, Global Precision Attack, Building Partnerships, Rapid Global Mobility and Agile Combat Support. The U.S. Air Force is a military service organized within the Department of the Air Force, one of the three military departments of the Department of Defense. The Air Force is headed by the civilian Secretary of the Air Force, who reports to the Secretary of Defense, and is appointed by the President with Senate confirmation. The highest-ranking military officer in the Department of the Air Force is the Chief of Staff of the Air Force, who exercises supervision over Air Force units, and serves as a member of the Joint Chiefs of Staff."
Why does the LDS church differ from Christianity?,"For example, the Mormon cosmology and plan of salvation include the doctrines of a pre-mortal life, three degrees of heaven, and exaltation. According to these doctrines every human spirit is a literal child of Heavenly Father, and each has the potential to continue to learn, grow, and progress in the eternities, eventually achieving eternal life , which is to become one with God in the same way that Jesus Christ is one with the Father, thus allowing the children of God to become divine beings or ""gods"" themselves, the LDS view of theosis, also referred to as becoming a ""joint-heir with Christ."" The process by which this is accomplished is called exaltation, a doctrine which includes the reunification of the mortal family after the resurrection and the ability to have spirit children in the afterlife and inherit a portion of God's kingdom. To obtain this state of godhood, the church teaches that one must have faith in Jesus Christ, repent of his or her sins, strive to keep the commandments faithfully, and participate in a sequence of ceremonial covenants called ordinances, which include baptism, receiving the gift of the Holy Ghost, the endowment, and celestial marriage. This latter ordinance, known as a sealing ceremony, reflects a singular LDS view with respect to families. According to LDS Church theology, men and women may be ""sealed"" to one another so that their marital bond continues into the eternities."
Why are the drug cartels a major concern in Mexico?,"The Mexican drug cartels have as many as 100,000 members. The Mexican government's National Geography and Statistics Institute estimated that there were 41,563 crimes per 100,000 residents in 2012. President Felipe Calderon made abating organized crime one of the top priorities of his administration by deploying military personnel to cities where drug cartels operate. This move was criticized by the opposition parties and the National Human Rights Commission for escalating the violence, but its effects have been positively evaluated by the US State Department's Bureau for International Narcotics and Law Enforcement Affairs as having obtained ""unprecedented results"" with ""many important successes"". Since President Felipe Calderon launched a crackdown against cartels in 2006, more than 28,000 alleged criminals have been killed. Of the total drug-related violence 4% are innocent people, mostly by-passers and people trapped in between shootings; 90% accounts for criminals and 6% for military personnel and police officers."
What kind of pressure did Germany put on the Ottoman Empire for their participation in World War I?,"However, for the first several months of the war the Ottoman Empire maintained neutrality though it allowed a German naval squadron to enter and stay near the strait of Bosphorus. Ottoman officials informed the German government that the country needed time to prepare for conflict. Germany provided financial aid and weapons shipments to the Ottoman Empire. After pressure escalated from the German government demanding that the Ottoman Empire fulfill its treaty obligations, or else Germany would expel the country from the alliance and terminate economic and military assistance, the Ottoman government entered the war with the recently acquired cruisers from Germany, the Yavuz Sultan Selim and the Midilli launching a naval raid on the Russian port of Odessa, thus engaging in a military action in accordance with its alliance obligations with Germany. Russia and the Triple Entente declared war on the Ottoman Empire. Bulgaria was still resentful after its defeat in July 1913 at the hands of Serbia, Greece and Romania."
How do clouds contribute to the greenhouse effect?,"The major non-gas contributor to Earth's greenhouse effect, clouds, also absorb and emit infrared radiation and thus have an effect on radiative properties of the greenhouse gases. Clouds are water droplets or ice crystals suspended in the atmosphere. The contribution of each gas to the greenhouse effect is affected by the characteristics of that gas, its abundance, and any indirect effects it may cause. For example, the direct radiative effect of a mass of methane is about 72 times stronger than the same mass of carbon dioxide over a 20-year time frame but it is present in much smaller concentrations so that its total direct radiative effect is smaller, in part due to its shorter atmospheric lifetime. On the other hand, in addition to its direct radiative impact, methane has a large, indirect radiative effect because it contributes to ozone formation. Shindell et al."
Why does manufacturing need to be increased in the US?,"Surveys and analyses of trends and issues in manufacturing and investment around the world focus on such things as:

The nature and sources of the considerable variations that occur cross-nationally in levels of manufacturing and wider industrial-economic growth;

Attractiveness to foreign direct investors. In addition to general overviews, researchers have examined the features and factors affecting particular key aspects of manufacturing development. They have compared production and investment in a range of Western and non-Western countries and presented case studies of growth and performance in important individual industries and market-economic sectors. On June 26, 2009, Jeff Immelt, the CEO of General Electric, called for the United States to increase its manufacturing base employment to 20% of the workforce, commenting that the U.S. has outsourced too much in some areas and can no longer rely on the financial sector and consumer spending to drive demand. Further, while U.S. manufacturing performs well compared to the rest of the U.S. economy, research shows that it performs poorly compared to manufacturing in other high-wage countries. A total of 3.2 million - one in six U.S. manufacturing jobs - have disappeared between 2000 and 2007."
How does the climate affect Sri Lanka's flora and fauna?,"The final stages of the war left some 294,000 people displaced. According to the Ministry of Resettlement, most of the displaced persons had been released or returned to their places of origin, leaving only 6,651 in the camps as of December 2011. In May 2010, President Rajapaksa appointed the Lessons Learnt and Reconciliation Commission to assess the conflict between the time of the ceasefire agreement in 2002 and the defeat of the LTTE in 2009. Sri Lanka has emerged from its 26-year war to become one of the fastest growing economies of the world. Sri Lanka lies on the Indian Plate, a major tectonic plate that was formerly part of the Indo-Australian Plate. It is in the Indian Ocean southwest of the Bay of Bengal, between latitudes 5deg and 10degN, and longitudes 79deg and 82degE."
How did Sunnis deal with the debate over how to deal issues that were originally in the Quran?,"[citation needed]

Reality of the one true God 

Existence of the angels of God

Authority of the books of God which are scrolls of Abraham, the scrolls of Moses, the Torah, the Psalms, the Gospel, and the Quran

Following the prophets of God

Preparation for and belief in the Day of Judgment

Supremacy of God's will, i.e. belief in predestination good or bad is from God alone

Some Islamic scholars faced questions that they felt were not explicitly answered in the Quran and the Sunnah, especially questions with regard to philosophical conundra such as the nature of God, the existence of human free will, or the eternal existence of the Quran. Various schools of theology and philosophy developed to answer these questions, each claiming to be true to the Quran and the Muslim tradition . Among Sunni Muslims, various schools of thought in theology began to be born out of the sciences of kalam in opposition to the textualists who stood by affirming texts without delving into philosophical speculation as they saw it as an innovation in Islam. The following were the three dominant schools of theology that grew. All three of these are accepted by Muslims around the globe, and are considered within ""Islamic orthodoxy""."
Explain the Anglican practice of Faith.,"'Reason' and 'Tradition' are seen as valuable means to interpret Scripture , but there is no full mutual agreement among Anglicans exactly how Scripture, Reason and Tradition interact with each other. Anglicans understand the Apostles' Creed as the baptismal symbol and the Nicene Creed as the sufficient statement of the Christian faith. Anglicans believe the catholic and apostolic faith is revealed in Holy Scripture and the Catholic creeds and interpret these in light of the Christian tradition of the historic church, scholarship, reason and experience. [citation needed]

Anglicans celebrate the traditional sacraments, with special emphasis being given to the Eucharist, also called Holy Communion, the Lord's Supper or the Mass. The Eucharist is central to worship for most Anglicans as a communal offering of prayer and praise in which the life, death and resurrection of Jesus Christ are proclaimed through prayer, reading of the Bible, singing, giving God thanks over the bread and wine for the innumerable benefits obtained through the passion of Christ, the breaking of the bread, and reception of the bread and wine as representing the body and blood of Christ as instituted at the Last Supper. While many Anglicans celebrate the Eucharist in similar ways to the predominant western Catholic tradition, a considerable degree of liturgical freedom is permitted, and worship styles range from the simple to elaborate."
What are the politics of Qatar?,"The Council of Ministers also initiates legislation. Laws and decrees proposed by the Council of Ministers are referred to the Advisory Council for discussion after which they are submitted to the Emir for ratification. A Consultative Assembly has limited legislative authority to draft and approve laws, but the Emir has final say on all matters. The current Council is composed entirely of members appointed by the Emir, as no legislative elections have been held since 1970 when there were partial elections to the body. Legislative elections are expected to be held in 2016. [citation needed]

Qatari law does not permit the establishment of political bodies or trade unions."
What occurred in Qatar during the antiquity period?,"Under the Sasanid reign, many of the inhabitants in Eastern Arabia were introduced to Christianity following the eastward dispersal of the religion by Mesopotamian Christians. Monasteries were constructed and further settlements were founded during this era. During the latter part of the Christian era, Qatar comprised a region known as 'Beth Qatraye' . The region was not limited to Qatar; it also included Bahrain, Tarout Island, Al-Khatt, and Al-Hasa. In 628, Muhammad sent a Muslim envoy to a ruler in Eastern Arabia named Munzir ibn Sawa Al Tamimi and requested that he and his subjects accept Islam. Munzir obliged his request, and accordingly, most of the Arab tribes in the region converted to Islam."
What kind of accent is a London accent?,"The most well known of the London accents long ago acquired the Cockney label, which is heard both in London itself, and across the wider South East England region more generally. The accent of a 21st-century Londoner varies widely; what is becoming more and more common amongst the under-30s however is some fusion of Cockney with a whole array of ethnic accents, in particular Caribbean, which form an accent labelled Multicultural London English . The other widely heard and spoken accent is RP in various forms, which can often be heard in the media and many of other traditional professions and beyond, although this accent is not limited to London and South East England, and can also be heard selectively throughout the whole UK amongst certain social groupings. London generates about 20 per cent of the UK's GDP ; while the economy of the London metropolitan area--the largest in Europe--generates about 30 per cent of the UK's GDP . London has five major business districts: the City, Westminster, Canary Wharf, Camden & Islington and Lambeth & Southwark. One way to get an idea of their relative importance is to look at relative amounts of office space: Greater London had 27 million m2 of office space in 2001, and the City contains the most space, with 8 million m2 of office space."
Why did Stockholm regain its economic role in the second half of the 19th century?,"By the second half of the 19th century, Stockholm had regained its leading economic role. New industries emerged and Stockholm was transformed into an important trade and service centre as well as a key gateway point within Sweden. The population also grew dramatically during this time, mainly through immigration. At the end of the 19th century, less than 40% of the residents were Stockholm-born. Settlement began to expand outside the city limits. The 19th century saw the establishment of a number of scientific institutes, including the Karolinska Institutet."
"During major military engagement campaigns, could you tell us how  the U.S. Air Force deployments carry-out & executive assigned combat missions & can you specially highlight the significance of the different USAF assets during large sale field interventions?","It has a $161 billion budget with 307,001 active duty personnel, 177,221 civilian personnel, 69,200 Air Force Reserve personnel, and 105,500 Air National Guard personnel. According to the National Security Act of 1947 , which created the USAF:

In general the United States Air Force shall include aviation forces both combat and service not otherwise assigned. It shall be organized, trained, and equipped primarily for prompt and sustained offensive and defensive air operations. The Air Force shall be responsible for the preparation of the air forces necessary for the effective prosecution of war except as otherwise assigned and, in accordance with integrated joint mobilization plans, for the expansion of the peacetime components of the Air Force to meet the needs of war. SS8062 of Title 10 US Code defines the purpose of the USAF as:

to preserve the peace and security, and provide for the defense, of the United States, the Territories, Commonwealths, and possessions, and any areas occupied by the United States;

to overcome any nations responsible for aggressive acts that imperil the peace and security of the United States. The stated mission of the USAF today is to ""fly, fight, and win in air, space, and cyberspace""."
How did Darwin's career transform into that of a geologist and naturalist?,"Studies at the University of Cambridge encouraged his passion for natural science. His five-year voyage on HMS Beagle established him as an eminent geologist whose observations and theories supported Charles Lyell's uniformitarian ideas, and publication of his journal of the voyage made him famous as a popular author. Puzzled by the geographical distribution of wildlife and fossils he collected on the voyage, Darwin began detailed investigations and in 1838 conceived his theory of natural selection. Although he discussed his ideas with several naturalists, he needed time for extensive research and his geological work had priority. He was writing up his theory in 1858 when Alfred Russel Wallace sent him an essay that described the same idea, prompting immediate joint publication of both of their theories. Darwin's work established evolutionary descent with modification as the dominant scientific explanation of diversification in nature."
What characterized Shakespeare's final period?,"Some commentators have seen this change in mood as evidence of a more serene view of life on Shakespeare's part, but it may merely reflect the theatrical fashion of the day. Shakespeare collaborated on two further surviving plays, Henry VIII and The Two Noble Kinsmen, probably with John Fletcher. It is not clear for which companies Shakespeare wrote his early plays. The title page of the 1594 edition of Titus Andronicus reveals that the play had been acted by three different troupes. After the plagues of 1592-3, Shakespeare's plays were performed by his own company at The Theatre and the Curtain in Shoreditch, north of the Thames. Londoners flocked there to see the first part of Henry IV, Leonard Digges recording, ""Let but Falstaff come, Hal, Poins, the rest ... and you scarce shall have a room""."
Was David Cameron's reign marked by power or opposition?,"This was also the first general election since 1992 in which the Conservatives had won an overall majority, although the vote share of 36.9% was lower than the previous four Conservative majority governments under Thatcher and Major. In June 2016 Cameron announced his intention to resign after he failed to convince the British public to stay in the European Union, and subsequently the Conservative Party leadership election was announced with Theresa May, Michael Gove, Stephen Crabb, Liam Fox and Andrea Leadsom confirmed as the official contenders to be his successor with Boris Johnson ruling himself out of the process. After Crabb withdrew, Fox and then Gove were eliminated in successive ballots by Conservative MPs, leaving Leadsom and May as the final candidates to be put before the wider Conservative Party membership. Leadsom subsequently withdrew from the contest on 11 July. On 11 July 2016, Theresa May became the leader of the Conservative Party with immediate effect following the withdrawal from the leadership election of her sole remaining opponent, Andrea Leadsom. She was appointed Prime Minister of the United Kingdom on 13 July 2016."
How was Greece involved in slave trading?,"Such institutions included debt-slavery, punishment for crime, the enslavement of prisoners of war, child abandonment, and the birth of slave children to slaves. Records of slavery in Ancient Greece date as far back as Mycenaean Greece. It is certain that Classical Athens had the largest slave population, with as many as 80,000 in the 6th and 5th centuries BC; two to four-fifths of the population were slaves. As the Roman Republic expanded outward, entire populations were enslaved, thus creating an ample supply from all over Europe and the Mediterranean. Greeks, Illyrians, Berbers, Germans, Britons, Thracians, Gauls, Jews, Arabs, and many more were slaves used not only for labour, but also for amusement . This oppression by an elite minority eventually led to slave revolts ; the Third Servile War led by Spartacus being the most famous and bitter."
Why does Virginia have one of the highest concentration of veterans?,"Virginia has one of the highest concentrations of veterans of any state, and is second to California in total Department of Defense employees. The Hampton Roads area has the largest concentration of military personnel and assets of any metropolitan area in the world, including the largest naval base in the world, Naval Station Norfolk. In its state government, Virginia employs 106,143 public employees, who combined have a median income of $44,656 as of 2013. Virginia has the highest concentration of technology workers of any state, and the fourth-highest number of technology workers after California, Texas, and New York. Computer chips became the state's highest-grossing export in 2006, surpassing its traditional top exports of coal and tobacco combined, reaching a total export value of $717 million in 2015. Northern Virginia, once considered the state's dairy capital, now hosts software, communication technology, defense contracting companies, particularly in the Dulles Technology Corridor."
How are the rates determined for the euro?,"The definitive values of one euro in terms of the exchange rates at which the currency entered the euro are shown on the right. The rates were determined by the Council of the European Union,[note 19] based on a recommendation from the European Commission based on the market rates on 31 December 1998. They were set so that one European Currency Unit would equal one euro. The European Currency Unit was an accounting unit used by the EU, based on the currencies of the member states; it was not a currency in its own right. They could not be set earlier, because the ECU depended on the closing exchange rate of the non-euro currencies that day. The procedure used to fix the conversion rate between the Greek drachma and the euro was different, since the euro by then was already two years old."
What is Socialism?,"Profits generated by these firms would be controlled directly by the workforce of each firm or accrue to society at large in the form of a social dividend. The feasibility and exact methods of resource allocation and calculation for a socialist system are the subjects of the socialist calculation debate. The socialist political movement includes a diverse array of political philosophies that originated amid the revolutionary movements of the mid-to-late 1700s and of a general concern for the social problems that were associated with capitalism. In addition to the debate over markets and planning, the varieties of socialism differ in their form of social ownership, how management is to be organized within productive institutions, and the role of the state in constructing socialism. Core dichotomies associated with these concerns include reformism versus revolutionary socialism, and state socialism versus libertarian socialism. Socialist politics has been both centralist and decentralized; internationalist and nationalist in orientation; organized through political parties and opposed to party politics; at times overlapping with trade unions and at other times independent of, and critical of, unions; and present in both industrialized and developing countries."
How did the British establish a trading system in the midst of Indian territory?,"Other Iroquois were resettled in 1784 at the Six Nations reserve at the west end of Lake Ontario. The population of Canada west of the St. Lawrence-Ottawa River confluence substantially increased during this period, a fact recognized by the Constitutional Act of 1791, which split Quebec into the Canadas: Upper Canada southwest of the St. Lawrence-Ottawa River confluence, and Lower Canada east of it. John Graves Simcoe was appointed Upper Canada's first Lieutenant governor in 1793. American troops in the War of 1812 invaded Upper Canada across the Niagara River and the Detroit River, but were defeated and pushed back by the British, Canadian fencibles and militias, and First Nations warriors. However, eventually the Americans gained control of Lake Erie and Lake Ontario. During the Battle of York in 1813, American troops occupied the Town of York."
What is a government?,"A government is the system by which a state or community is controlled. In the Commonwealth of Nations, the word ""government"" is also used more narrowly to refer to the collective group of people that exercises executive authority in a state. This usage is analogous to what is called an ""administration"" in American English. Furthermore, especially in American English, the concepts of ""the state"" and ""the government"" may be used synonymously to refer to the person or group of people exercising authority over a politically organized territory. Finally, government is also sometimes used in English as a synonym for governance. In the case of its broad associative definition, government normally consists of legislators, administrators, and arbitrators. Government is the means by which state policy is enforced, as well as the mechanism for determining the policy of the state."
How does viral load affect risk?,"Genital ulcers appear to increase the risk approximately fivefold. Other sexually transmitted infections, such as gonorrhea, chlamydia, trichomoniasis, and bacterial vaginosis, are associated with somewhat smaller increases in risk of transmission. The viral load of an infected person is an important risk factor in both sexual and mother-to-child transmission. During the first 2.5 months of an HIV infection a person's infectiousness is twelve times higher due to this high viral load. If the person is in the late stages of infection, rates of transmission are approximately eightfold greater. Commercial sex workers have an increased rate of HIV."
How was the NBA created out of the BAA?,"The process of contraction saw the league's smaller-city franchises move to larger cities. The Hawks shifted from the Tri-Cities to Milwaukee in 1951, and then to St. Louis in 1955. The Rochester Royals moved from Rochester, New York, to Cincinnati in 1957 and the Pistons relocated from Fort Wayne, Indiana, to Detroit in 1957. Japanese-American Wataru Misaka broke the NBA color barrier in the 1947-48 season when he played for the New York Knicks. He remained the only non-white player in league history prior to the first African-American, Harold Hunter, signing with the Washington Capitols in 1950. Hunter was cut from the team during training camp, but several African-American players did play in the league later that year, including Chuck Cooper with the Celtics, Nathaniel ""Sweetwater"" Clifton with the Knicks, and Earl Lloyd with the Washington Capitols."
How does common law develop?,"Common law is law developed by judges, courts, and similar tribunals, stated in decisions that nominally decide individual cases but that in addition have precedential effect on future cases. Common law is a third branch of law, in contrast to and on equal footing with statutes which are adopted through the legislative process, and regulations which are promulgated by the executive branch. The body of past common law binds judges that make future decisions, just as any other law does, to ensure consistent treatment. In cases where the parties disagree on what the law is, a common law court looks to past precedential decisions of relevant courts. If a similar dispute has been resolved in the past, the court is usually bound to follow the reasoning used in the prior decision . If, however, the court finds that the current dispute is fundamentally distinct from all previous cases , judges have the authority and duty to make law by creating precedent. Thereafter, the new decision becomes precedent, and will bind future courts."
Why and how did some major events which have occurred during this century in Manattan change lives?,"The storm and its profound impacts have prompted the discussion of constructing seawalls and other coastal barriers around the shorelines of the borough and the metropolitan area to minimize the risk of destructive consequences from another such event in the future. The borough consists of Manhattan Island, Marble Hill, and several small islands, including Randalls Island and Wards Island, and Roosevelt Island in the East River, and Governors Island and Liberty Island to the south in New York Harbor. According to the U.S. Census Bureau, New York County has a total area of 33.6 square miles , of which 22.8 square miles is land and 10.8 square miles  is water. The northern segment of Upper Manhattan represents a geographic panhandle. Manhattan Island is 22.7 square miles in area, 13.4 miles long and 2.3 miles wide, at its widest . Manhattan Island is loosely divided into Downtown , Midtown , and Uptown , with Fifth Avenue dividing Manhattan's east and west sides."
How has a libertarian philosophy influenced the laws of Nevada?,"However, legalized gambling and lenient marriage and divorce laws transformed Nevada into a major tourist destination in the 20th century. Nevada is the only U.S. state where prostitution is legal, though it is illegal in Las Vegas and Reno as well as Carson City, which is an independent city. The tourism industry remains Nevada's largest employer, with mining continuing as a substantial sector of the economy: Nevada is the fourth-largest producer of gold in the world. The name ""Nevada"" comes from the Spanish nevada [ne'bada], meaning ""snow-covered"", after the Sierra Nevada . Most Nevadans pronounce the second syllable of their state name using the /ae/ vowel of ""bad"". Many from outside the Western United States pronounce it with the /a:/ vowel of ""father"" /n@'va:d@/."
What did the anti-Jewish efforts of the Nazi regime culminate in?,"These would all be transported by train to extermination camps in Poland, where almost all of them would be gassed at once. In some camps, such as Auschwitz, those fit for work would be kept alive for a while, but eventually all would be killed. Goring's representative, Erich Neumann, gained a limited exemption for some classes of industrial workers. In his 1983 book, Popular Opinion and Political Dissent in the Third Reich, Ian Kershaw examined the Alltagsgeschichte in Bavaria during the Nazi period. Describing the attitudes of most Bavarians, Kershaw argued that the most common viewpoint was indifference towards what was happening to the Jews. Kershaw argued that most Bavarians were vaguely aware of the Shoah, but were vastly more concerned about the war than about the ""Final Solution to the Jewish Question""."
Why was Iraq removed from the State Sponsors of Terrorism list before the Gulf War?,"In March 1982, Iran began a successful counteroffensive , and the US increased its support for Iraq to prevent Iran from forcing a surrender. In a US bid to open full diplomatic relations with Iraq, the country was removed from the US list of State Sponsors of Terrorism. Ostensibly, this was because of improvement in the regime's record, although former US Assistant Defense Secretary Noel Koch later stated: ""No one had any doubts about [the Iraqis'] continued involvement in terrorism ... The real reason was to help them succeed in the war against Iran."" With Iraq's newfound success in the war, and the Iranian rebuff of a peace offer in July, arms sales to Iraq reached a record spike in 1982. When Iraqi President Saddam Hussein expelled Abu Nidal to Syria at the US' request in November 1983, the Reagan administration sent Donald Rumsfeld to meet Saddam as a special envoy and to cultivate ties."
How did Queen Victoria's marriage to Albert define her reign?,"Through Albert's mediation, relations between mother and daughter slowly improved. During Victoria's first pregnancy in 1840, in the first few months of the marriage, 18-year-old Edward Oxford attempted to assassinate her while she was riding in a carriage with Prince Albert on her way to visit her mother. Oxford fired twice, but either both bullets missed or, as he later claimed, the guns had no shot. He was tried for high treason, found not guilty on the grounds of insanity, and committed to an insane asylum indefinitely. In the immediate aftermath of the attack, Victoria's popularity soared, mitigating residual discontent over the Hastings affair and the bedchamber crisis. Her daughter, also named Victoria, was born on 21 November 1840."
What occurred as the end result of professionalization for philosophy?,"While it remains common among the population at large for a person to have a set of religious, political or philosophical views that they consider their ""philosophy"", these views are rarely informed by or connected to the work being done in professional philosophy today. Furthermore, unlike many of the sciences for which there has come to be a healthy industry of books, magazines, and television shows meant to popularize science and communicate the technical results of a scientific field to the general populace, works by professional philosophers directed at an audience outside the profession remain rare. Philosopher Michael Sandel's book ""Justice: What's the Right Thing to Do?"" and Harry Frankfurt's ""On Bullshit"" are examples of works that hold the uncommon distinction of having been written by professional philosophers but directed at and ultimately popular among a broader audience of non-philosophers. Both works became New York Times best sellers. Many inquiries outside of academia are philosophical in the broad sense."
What has been the major role of the Great Lakes in North American ecology?,"The lakes have been a major highway for transportation, migration and trade, and they are home to a large number of aquatic species. Many invasive species have been introduced due to trade, and some threaten the region's biodiversity. Though the five lakes reside in separate basins, they form a single, naturally interconnected body of fresh water, within the Great Lakes Basin. The lakes form a chain connecting the east-central interior of North America to the Atlantic Ocean. From the interior to the outlet at the Saint Lawrence River, water flows from Superior to Huron and Michigan, southward to Erie, and finally northward to Lake Ontario. The lakes drain a large watershed via many rivers, and are studded with approximately 35,000 islands."
What is the importance of the head of government as a dominant head of state?,"A skilled head of government like 19th-century German statesman Otto von Bismarck, Minister President of Prussia and later Chancellor of Germany under Emperor/King Wilhelm I, serves as an example showing that possession of formal powers does not equal political influence. In some cases, the head of state is a figurehead whilst the head of the government leads the ruling party. In some cases a head of government may even pass on the title in hereditary fashion. Such titles include the following:

Mayor of the palace of the Merovingian kingdoms

Nawab wasir of the Mughal Empire 

Peshwa of Satara and the Maratha empire

Sultan in the original case of the Seljuk Turks who made the caliphs of Baghdad their puppets; later both styles were often used for absolute rulers in Nepal

In some models the head of state and head of government are one and the same. These include:

An absolute monarch reigning and ruling without a separate principal minister

A State Governor in the United States 

An alternative formula is a single chief political body which collectively leads the government and provides the ceremonial Head of state See Head of state for further explanation of these cases. In parliamentary systems, government functions along the following lines:

The head of government -- usually the leader of the majority party or coalition -- forms the government, which is answerable to parliament;

Full answerability of government to parliament is achieved through

The ability of parliament to pass a vote of no confidence."
What effect does latitude have on biodiversity?,"Thus localities at lower latitudes have more species than localities at higher latitudes. This is often referred to as the latitudinal gradient in species diversity. Several ecological mechanisms may contribute to the gradient, but the ultimate factor behind many of them is the greater mean temperature at the equator compared to that of the poles. Even though terrestrial biodiversity declines from the equator to the poles, some studies claim that this characteristic is unverified in aquatic ecosystems, especially in marine ecosystems. The latitudinal distribution of parasites does not appear to follow this rule. A biodiversity hotspot is a region with a high level of endemic species that has experienced great habitat loss."
How did Copenhagen become established?,"Copenhagen ; Danish: Kobenhavn [khobm'haU?n] ) is the capital and most populated city of Denmark. It has a municipal population of 591,481 and a larger urban population of 1,280,371 . The Copenhagen metropolitan area has just over 2 million inhabitants. The city is situated on the eastern coast of the island of Zealand; another small portion of the city is located on Amager, and is separated from Malmo, Sweden, by the strait of Oresund. Originally a Viking fishing village founded in the 10th century, Copenhagen became the capital of Denmark in the early 15th century. Beginning in the 17th century it consolidated its position as a regional centre of power with its institutions, defences and armed forces. After suffering from the effects of plague and fire in the 18th century, the city underwent a period of redevelopment."
How did Darwin contribute to the understanding of sexual selection?,"Subsequently, Nazi eugenics brought the field into disrepute. [VIII]

The term ""Social Darwinism"" was used infrequently from around the 1890s, but became popular as a derogatory term in the 1940s when used by Richard Hofstadter to attack the laissez-faire conservatism of those like William Graham Sumner who opposed reform and socialism. Since then, it has been used as a term of abuse by those opposed to what they think are the moral consequences of evolution. Darwin was a prolific writer. Even without publication of his works on evolution, he would have had a considerable reputation as the author of The Voyage of the Beagle, as a geologist who had published extensively on South America and had solved the puzzle of the formation of coral atolls, and as a biologist who had published the definitive work on barnacles. While On the Origin of Species dominates perceptions of his work, The Descent of Man and The Expression of the Emotions in Man and Animals had considerable impact, and his books on plants including The Power of Movement in Plants were innovative studies of great importance, as was his final work on The Formation of Vegetable Mould through the Action of Worms.
"
"What is the etymology of ""capitalism""?","Capitale emerged in the 12th to 13th centuries in the sense of referring to funds, stock of merchandise, sum of money, or money carrying interest. By 1283 it was used in the sense of the capital assets of a trading firm. It was frequently interchanged with a number of other words -- wealth, money, funds, goods, assets, property, and so on. The Hollandische Mercurius uses capitalists in 1633 and 1654 to refer to owners of capital. In French, Etienne Clavier referred to capitalistes in 1788, six years before its first recorded English usage by Arthur Young in his work Travels in France . David Ricardo, in his Principles of Political Economy and Taxation , referred to ""the capitalist"" many times."
How did the welfare state develop in Germany?,"Bismarck further won the support of both industry and skilled workers through his high-tariff policies, which protected profits and wages from American competition, although they alienated the liberal intellectuals who wanted free trade. Saudi Arabia, Brunei, Kuwait, and Qatar have become welfare states exclusively for their own citizens. Historian Derek Fraser tells the British story in a nutshell:

It germinated in the social thought of late Victorian liberalism, reached its infancy in the collectivism of the pre-and post-Great War statism, matured in the universalism of the 1940s and flowered in full bloom in the consensus and affluence of the 1950s and 1960s. By the 1970s it was in decline, like the faded rose of autumn. Both UK and US governments are pursuing in the 1980s monetarist policies inimical to welfare. The modern welfare state in Great Britain began operations with the Liberal welfare reforms of 1906-1914 under Liberal Prime Minister H. H. Asquith."
What historical significance of the 4000-year-old tomb at Forteviot?,"The 2009 discovery in Scotland of a 4000-year-old tomb with burial treasures at Forteviot, near Perth, the capital of a Pictish Kingdom in the 8th and 9th centuries AD, is unrivalled anywhere in Britain. It contains the remains of an early Bronze Age ruler laid out on white quartz pebbles and birch bark. It was also discovered for the first time that early Bronze Age people placed flowers in their graves. Scotland may have been part of a Late Bronze Age maritime trading culture called the Atlantic Bronze Age, which included other Celtic nations, and the areas that became England, France, Spain, and Portugal. In the winter of 1850, a severe storm hit Scotland, causing widespread damage and over 200 deaths. In the Bay of Skaill, the storm stripped the earth from a large irregular knoll, known as ""Skerrabra""."
What was the British response to being forced out of Boston?,"Patriots in each of the thirteen colonies formed Provincial Congresses that assumed power from the old colonial governments and suppressed Loyalism, and from there built a Continental Army under the leadership of General George Washington. The Continental Congress determined King George III's rule to be tyrannical and infringing the colonists' ""rights as Englishmen"", and declared the colonies free and independent states in July 1776. The Patriot leadership professed the political philosophies of liberalism and republicanism to reject monarchy and aristocracy, and proclaimed that all men are created equal. Congress rejected British proposals requiring allegiance to the monarchy and abandonment of independence. The British were forced out of Boston in 1776, but then captured and held New York City for the duration of the war. They blockaded the ports and captured other cities for brief periods, but failed to defeat Washington's forces."
